s_id,viet,eng,topic
4369,Hợp đồng kim loại khi được làm mát,Metal contracts when cooled,Science & Technology
2806,Tom không muốn có ipad . anh ta muốn một thiết bị cầm tay hỗ trợ flash,Tom doesn't want an Ipad. He wants a portable device that supports Flash,Science & Technology
139,Nhà vật lý đã nhận thức được mối nguy hiểm tiềm tàng của phản ứng tổng hợp hạt nhân .,The physicist was aware of the potential danger of nuclear fusion.,Science & Technology
8739,Tom không sẵn lòng trả số tiền lớn đó cho máy tính cũ .,Tom was unwilling to pay that much money for a secondhand computer.,Science & Technology
1327,Bạn có thể tải về hướng dẫn sử dụng cho bộ trao đổi nhiệt tại đây,You can download the instruction manual for the heat exchanger here,Science & Technology
4959,Người ta nói rằng không có sự sống trên sao hỏa .,It is said that there is no life on Mars.,Science & Technology
8807,"Ứng dụng mới này tuyên bố là thân thiện với người dùng . tốt , nó không phải là .","This new application claims to be user friendly. Well, it isn't.",Science & Technology
10913,Tôi không bao giờ cho mượn ổ USB của mình cho người khác .,I never lend my USB drive to others.,Science & Technology
10445,Dữ liệu hoàn toàn vô dụng,The data was completely useless,Science & Technology
3790,Tôi nghĩ rằng rất khó có khả năng tom sẽ quan tâm đến việc mua máy nghe nhạc mp3 cũ của bạn,I think it's highly unlikely that Tom would be interested in buying your old MP3 player,Science & Technology
4097,Chúng ta cần một chuyên gia về công nghệ xanh .,We need an expert in green technology.,Science & Technology
903,"Nếu không có máy tính , cuộc sống của chúng ta sẽ bất tiện biết bao !","If it were not for the computer, how inconvenient our lives would be!",Science & Technology
1583,Trình duyệt mà bạn đang sử dụng ?,Which browser are you using?,Science & Technology
6595,Một trong những động cơ của máy bay bị cắt,One of the aircraft's engines cut out,Science & Technology
3982,Khí hậu ẩm và ấm .,The climate is moist and warm.,Science & Technology
4672,Máy bay đó sử dụng công nghệ mới .,That plane makes use of new technology.,Science & Technology
2334,Máy tính xách tay tốt hơn máy tính để bàn,A laptop is better than a desktop,Science & Technology
3211,Tôi bán máy tính,I sell computers,Science & Technology
1548,Có thiệt hại cho máy tính .,There was damage to the computer.,Science & Technology
7617,Clive muốn trở thành một kỹ sư điện tử,Clive wants to be an electronic engineer,Science & Technology
2313,Tom luôn luôn ngứa cho một cuộc chiến,Tom is always itching for a fight,Sports
318,Chúng tôi không có gì .,We've got nothing.,Sports
6151,Bóng đá là môn thể thao phổ biến nhất,Soccer is the most popular of all sports,Sports
124,Tôi nghĩ rằng tom có vấn đề nghiêm trọng ở nhà .,I think Tom has serious problems at home.,Sports
5306,Tom loạng choạng bước vào .,Tom staggered in.,Sports
10820,Một người đàn ông lớn tuổi đang ngồi trên băng ghế,An older man was sitting on the bench,Sports
1242,Họ đã bao giờ chơi ở Ý chưa ?,Did they ever play in Italy?,Sports
6869,Tom đã đi đến các cuộc đua ngựa một lần vào mùa hè năm ngoái .,Tom went to the horse races once last summer.,Sports
10434,Có bao nhiêu mùa trong một năm ?,How many seasons are there in a year?,Sports
7355,Trò chơi hôm nay thế nào ?,How was today's game?,Sports
2295,Đây là cây bút tốt nhất,This is the best pen.,Sports
2589,Tom rõ ràng là buồn về điều gì đó .,Tom is clearly upset about something.,Sports
1005,Bạn có nghĩ rằng tom là không may mắn ?,Do you think Tom is unlucky?,Sports
2190,Tom không có vấn đề làm điều đó .,Tom should have no problem doing that.,Sports
1129,Thật đáng tiếc rằng anh ta đã không được bầu làm đội trưởng của đội .,It is regrettable that he was not elected captain of the team.,Sports
5311,Tôi nghĩ rằng tom có thể bị đánh bại .,I think Tom can be beaten.,Sports
6458,Chúng tôi đã có một số quyết định để thực hiện .,We've got some decisions to make.,Sports
10010,Là jimmy viết một lá thư ?,Is Jimmy writing a letter?,Sports
5080,Tom lốp dễ dàng .,Tom tires easily.,Sports
7309,Trò chơi đã bị hủy,The game was called off,Sports
6238,Tôi không biết tom sẽ đến boston với mary .,I didn't know Tom was going to Boston with Mary.,Travel & Adventure
9824,Đây là lần đầu tiên tôi đến thăm nước Anh,This is the first time I have visited England,Travel & Adventure
709,Tôi không hối tiếc khi đến đây .,I don't regret coming here.,Travel & Adventure
2910,Người đàn ông vừa trở về sau chuyến thăm châu Âu,The man had just returned from a visit to Europe,Travel & Adventure
4773,Tôi muốn nghe tất cả về chuyến đi của bạn đến boston .,I want to hear all about your trip to Boston.,Travel & Adventure
1405,Cậu bé mơ ước được đi thám hiểm Nam cực,The boy dreamed of going on an Antarctic expedition,Travel & Adventure
9437,Tôi thích đi du lịch một mình,I prefer traveling on my own,Travel & Adventure
5468,Có thể đi du lịch ở tốc độ cao như vậy ?,Is it possible to travel at such a high speed?,Travel & Adventure
7777,Tôi có thể lấy vé máy bay ở đâu ?,Where can I pick up my airplane ticket?,Travel & Adventure
4718,Cuối cùng tôi đã đi đến Anh vào mùa hè này .,I finally went to England this summer.,Travel & Adventure
1210,Kỳ nghỉ đã gần kết thúc,The vacation is close to an end.,Travel & Adventure
5428,Tôi đã đi đến hawaii trong một vài tuần,I went to Hawaii on vacation for a couple of weeks,Travel & Adventure
8044,Bạn cần phải đi ngay bây giờ,You need to go now,Travel & Adventure
10376,Tôi định đi . Tôi không quan tâm nếu bạn làm hay không .,I plan to go. I don't care if you do or not.,Travel & Adventure
4328,Chúng tôi đã thực sự hy vọng mua một chiếc thuyền đánh cá .,We were really hoping to buy a fishing boat.,Travel & Adventure
5286,Bạn đã nghĩ về thời gian nào trong năm bạn muốn đến thăm boston chưa ?,Have you thought about what time of year you want to visit Boston?,Travel & Adventure
9608,Tại sao bạn không quay lại boston ?,Why don't you go back to Boston?,Travel & Adventure
5923,Bạn có chấp nhận visa không,Do you accept Visa?,Travel & Adventure
9381,Chúng tôi đã chết mệt mỏi từ chuyến đi năm giờ .,We were dead tired from the five-hour trip.,Travel & Adventure
8666,Tôi muốn trở lại boston .,I want to be back in Boston.,Travel & Adventure
3590,Anh trai tôi học cùng trường tôi làm,My brother goes to the same school I do,Youth & Student Life
10994,Anh ta làm hỏng bài kiểm tra lái xe của mình ba lần .,He flunked his driving test three times.,Youth & Student Life
